latitude,longitude,altitude,geometry,coordinates,@id,highway,indoor,level,area,lit,surface,crossing:island,footway,cycleway:right,lanes,maxspeed,name,oneway,sidewalk,smoothness,trolley_wire,trolley_wire:forward,cycleway:both,zone:maxspeed,cycleway:left,lane_markings,name:etymology:wikidata,sidewalk:both:surface,source:maxspeed,cycleway:left:oneway,oneway:bicycle,bicycle,access,check_date,construction,check_date:cycleway,sidewalk:right:surface,foot,oneway:foot,service,cycleway,maxspeed:type,motor_vehicle,note:maxspeed,parking:both,parking:both:orientation,cycleway:both:lane,lanes:backward,lanes:forward,turn:lanes:forward,layer,maxheight,tunnel,alt_name,trolley_wire:both,hgv,check_date:surface,cycleway:surface,footway:surface,segregated,bridge,maxweight:signed,shoulder,cycleway:width,bicycle:lanes,cycleway:lanes,cycleway:right:lane,old_ref,turn:lanes,vehicle:lanes,short_name,incline,sac_scale,width,cycleway:colour,sidewalk:left:surface,embedded_rails,name:etymology,wikidata,source:name:etymology,busway,oneway:psv,obstacle,ref,crossing,crossing:markings,motorcycle,separated,junction,placement,access:lanes:backward,access:lanes:forward,bus:lanes:backward,bus:lanes:forward,oneway:bus,psv:lanes:backward,psv:lanes:forward,horse,maxweight,trolley_wire:backward,lanes:psv:backward,oneway:moped,psv,traffic_calming,tactile_paving,maxheight:signed,colour,taxi,old_name,handrail,button_operated,covered,traffic_signals:vibration,visibility,loc_name,cycleway:left:lane,mtb:scale,mtb:scale:imba,mtb:scale:uphill,trail_visibility,description,wheelchair,crossing_ref,surface_survey,traffic_signals:sound,parking:left,parking:right,kerb,ramp,step_count,source:cycleway:width,access:disabled,living_street,check_date:smoothness,check_date:footway:surface,check_date:cycleway:surface,fixme,informal,crossing:signals,source,check_date:crossing,check_date:tactile_paving,check_date:traffic_signals:vibration,check_date:traffic_signals:sound,direction,panoramax
,,,LineString,"11.3503918,44.4976901,11.3503987,44.4977304,11.3504549,44.4980022,11.3504666,44.4980378,11.3505211,44.4981667,11.3506999,44.498507,11.3509056,44.4988359,11.3512017,44.4993774,11.3512214,44.4994135,11.3512538,44.4994862",way/22880356,residential,,,,yes,asphalt,,,,1,30,Via Centotrecento,yes,both,,,,no,IT:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"11.3454918,44.5048356,11.3455317,44.5050283,11.3455373,44.505049,11.3455432,44.5050709,11.3455581,44.5051212",way/23184329,primary,,,,yes,asphalt,,,no,,30,Via Giacomo Matteotti,no,both,good,,,,,separate,no,Q267304,asphalt,https://wiki.osm.org/?curid=306950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"11.3537375,44.4975937,11.3537266,44.4976203,11.3537226,44.4976418,11.3537261,44.4976658,11.3541801,44.4986285,11.3542406,44.4987597",way/23184466,residential,,,,yes,asphalt,,,no,1,30,Via Giovanni Battista de Rolandis,yes,both,,,,,IT:30,lane,,,,,-1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"11.3485901,44.5086775,11.3484142,44.5079957,11.3483923,44.5079046",way/23189138,residential,,,,yes,asphalt,,,,,30,Via Marc'Antonio Raimondi,yes,both,,,,,,,,,,https://wiki.osm.org/?curid=306950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"11.3460865,44.4971685,11.3461356,44.4971609,11.3465835,44.4970726,11.3466174,44.4970656,11.3466954,44.4970419,11.3471837,44.4968573,11.3473535,44.4967944,11.3477123,44.4966659,11.3482945,44.4964605,11.348497,44.4963697",way/23189293,residential,,,,yes,asphalt,,,,,30,Via Marsala,yes,right,intermediate,,,no,IT:30,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"11.3419593,44.4977388,11.342009,44.4977323,11.3420536,44.4977277,11.3425219,44.4976716,11.3426976,44.4976547,11.3432697,44.4975997,11.3433409,44.4975911,11.3433605,44.4975883",way/23189390,residential,,,,yes,sett,,,,,30,Via Volturno,yes,left,intermediate,,,,IT:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"11.3481964,44.4870458,11.3484251,44.4870238,11.3486786,44.4874976,11.3491183,44.4883224,11.3491368,44.4883552,11.3491522,44.4883841,11.3493171,44.488653,11.3493968,44.4887918,11.3494524,44.4888872,11.3494847,44.4889518,11.3495527,44.4890879,11.3496138,44.4892217,11.3496211,44.4892443,11.3496179,44.4892688,11.349604,44.4892921,11.3495972,44.4893151,11.3496014,44.4893347,11.3496123,44.4893496,11.3496616,44.4894011,11.3498428,44.4895855,11.3500188,44.4897438,11.3500546,44.4897744,11.3502153,44.4898965,11.3502275,44.489905,11.3503137,44.4899419",way/23189459,residential,,,,yes,asphalt,,,,,30,Via Rialto,yes,both,,,,no,IT:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"11.3475151,44.4996938,11.3477507,44.5002577,11.3478096,44.5003536",way/23189537,living_street,,,,yes,sett,,,,,30,Via Capo di Lucca,yes,both,,,,no,IT:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"11.345232,44.4938978,11.3452351,44.4939201,11.345253,44.4939735,11.3453064,44.4941324,11.3453617,44.49431,11.345394,44.4944107",way/23218487,residential,,,,yes,paving_stones,,,,,30,Via Calzolerie,yes,both,intermediate,,,,IT:30,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"11.3464408,44.4937063,11.3463676,44.4937119,11.3462606,44.4937271,11.3461301,44.493745,11.3452698,44.4938777,11.3452489,44.4938868,11.345232,44.4938978",way/23218488,residential,,,,yes,paving_stones,,,,,30,Via Caprarie,yes,both,intermediate,,,no,IT:30,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"11.350527,44.4970505,11.3510541,44.4964575",way/23218669,construction,,,,yes,asphalt,,,,,30,Via del Guasto,,no,,,,,IT:30,,,,,,,,,no,2025-10-01,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"11.3471837,44.4968573,11.3475881,44.4973991",way/23218805,residential,,,,yes,asphalt,,,,,30,Via Mentana,yes,right,intermediate,,,no,IT:30,,,,,,,,,,,,2025-03-25,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"11.3424051,44.5053128,11.3422687,44.5053208,11.341625,44.5054204,11.3415752,44.5054257,11.3415179,44.5054267,11.3414766,44.5054123,11.3414337,44.50538",way/23220063,tertiary,,,,yes,asphalt,,,no,1,30,Viale Pietro Pietramellara,yes,separate,good,yes,main,,,,yes,,,https://wiki.osm.org/?curid=306950,,,yes,,,,,,use_sidepath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
