type,id,lat,lon,tags/crossing,tags/crossing:island,tags/crossing:markings,tags/highway,tags/button_operated,tags/tactile_paving,tags/kerb,tags/crossing:signals,tags/bicycle,tags/source,tags/traffic_signals:sound,tags/traffic_signals:vibration,tags/traffic_calming,tags/crossing_ref,tags/foot,tags/traffic_signals,tags/check_date:crossing,tags/check_date:tactile_paving,tags/check_date:traffic_signals:vibration,tags/check_date:traffic_signals:sound,tags/traffic_signals:direction,tags/surface,tags/direction,tags/wheelchair,tags/level,tags/panoramax,tags/lit,bounds/minlat,bounds/minlon,bounds/maxlat,bounds/maxlon,nodes/0,nodes/1,geometry/0/lat,geometry/0/lon,geometry/1/lat,geometry/1/lon,tags/footway,nodes/2,nodes/3,geometry/2/lat,geometry/2/lon,geometry/3/lat,geometry/3/lon,tags/smoothness,tags/name,tags/name:etymology:wikidata,tags/ref,nodes/4,nodes/5,geometry/4/lat,geometry/4/lon,geometry/5/lat,geometry/5/lon,tags/check_date:surface,tags/cycleway:surface,tags/footway:surface,tags/segregated,nodes/6,nodes/7,geometry/6/lat,geometry/6/lon,geometry/7/lat,geometry/7/lon,tags/covered,tags/layer,tags/oneway,tags/separated,nodes/8,nodes/9,geometry/8/lat,geometry/8/lon,geometry/9/lat,geometry/9/lon,tags/horse,tags/tunnel,tags/lanes,tags/width,tags/motor_vehicle,tags/motorcycle,tags/check_date:smoothness,tags/check_date,tags/construction,tags/area,tags/fixme
way,448811325,,,zebra,no,zebra,footway,,no,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.4982716,11.3383111,44.4983371,11.3383436,4457864157,4457864160,44.4982716,11.3383111,44.4983018,11.3383255,crossing,4457864163,,44.4983371,11.3383436,,,excellent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,448811327,,,zebra,no,zebra,footway,,no,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.4982716,11.3382227,44.4982921,11.3383111,4457864157,4457864158,44.4982716,11.3383111,44.4982828,11.3382546,crossing,4457864159,,44.4982921,11.3382227,,,good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,448811328,,,,,,footway,,,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.5013155,11.3397233,44.5014471,11.3397849,8756466044,3241253092,44.5014471,11.3397849,44.501383,11.3397541,crossing,12996189112,4457864181,44.5013222,11.339726,44.5013155,11.3397233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,448811333,,,zebra,,,footway,,,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.497532,11.3377226,44.4975833,11.3379643,4457864146,4457864147,44.497532,11.3379643,44.4975498,11.3378778,crossing,4457864148,4457864149,44.4975611,11.3378259,44.4975714,11.3377827,,,,,11648848624,,44.4975833,11.3377226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,448983390,,,zebra,,,footway,,no,,,,,,,,,,,,,,,,asphalt,,,,,,44.5042424,11.3158655,44.5043177,11.3160652,5842035106,2476925636,44.5043177,11.3158655,44.5042974,11.3159179,crossing,2476925627,5841740719,44.5042661,11.3160006,44.5042424,11.3160652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,448983391,,,traffic_signals,,,footway,,,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.5041528,11.3084725,44.5041871,11.3086883,8956639658,4459495254,44.5041871,11.3084725,44.5041782,11.3085283,crossing,4459495253,8956639657,44.5041609,11.3086363,44.5041528,11.3086883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,448983395,,,zebra,yes,zebra,footway,,no,,,,,,,,,,,,,,,,sett,,,,,yes,44.4943434,11.3363218,44.4944098,11.336604,3236495894,4459495226,44.4944098,11.3363218,44.4943921,11.336395,crossing,352457102,10989938338,44.4943687,11.3364984,44.4943434,11.336604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,452865647,,,zebra,yes,zebra,footway,,no,,,,,,,,,,,,,,,,asphalt,,,,,,44.5113393,11.3502705,44.5115894,11.3503383,12308439452,365377097,44.5113393,11.3502705,44.5113524,11.350274,crossing,4496799428,250762243,44.5114786,11.3503082,44.5115446,11.3503262,,,,,12308439447,,44.5115894,11.3503383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,453786080,,,,,,footway,,,,,,,,,,,,,,,,,,,,,,,,44.5114946,11.3614546,44.5115491,11.3616164,3977914058,4504733878,44.5114946,11.3614546,44.511503,11.3614796,crossing,11016003050,11016003051,44.511511,11.3615034,44.5115217,11.3615352,,,,,292608595,4504733877,44.5115344,11.3615729,44.5115491,11.3616164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,475880447,,,traffic_signals,no,zebra,footway,,no,,,,,,,,,,,,,,,,asphalt,,,,,yes,44.4971584,11.3181016,44.4973232,11.3182045,4695643899,10876234329,44.4973232,11.3182045,44.4972755,11.3181723,crossing,10876234330,4695643902,44.49721,11.318132,44.4971584,11.3181016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
